Vizualizacao_externa1 <-  vitrine1 localizacao6 (100.0 , 0.3 )

Vizualizacao_externa1 <-  vitrine2 aparencia_loja5 (100.0 , 0.3 )

Vizualizacao_externa1 <-  aparencia_loja1 divulgacao3 (100.0 , 0.3 )

Vizualizacao_externa1 <-  qualidade_produto1 formas_pagamento4 (50.0 , 0.6 )

Vizualizacao_externa1 <-  localizacao5 variedade_tamanhos5 vitrine3 (50.0 , 0.6 )

Vizualizacao_externa1 <-  provador1 Vendedor1 atendimento3 (50.0 , 0.6 )

Vizualizacao_externa1 <-  atendimento6 formas_pagamento3 qualidade_produto3 (50.0 , 0.6 )

Vizualizacao_externa1 <-  qualidade_produto2 Vendedor2 provador2 (50.0 , 0.6 )

Vizualizacao_externa1 <-  variedade_tamanhos3 SimRetornou formas_pagamento1 (100.0 , 0.3 )

Vizualizacao_externa2 <-  variedade_cores1 (60.0 , 1.4 )

Vizualizacao_externa2 <-  vitrine1 (50.0 , 1.7 )

Vizualizacao_externa2 <-  variedade_cores2 atendimento2 (50.0 , 0.6 )

Vizualizacao_externa2 <-  atendimento1 provador1 (66.7 , 0.8 )

Vizualizacao_externa2 <-  variedade_cores6 localizacao5 (50.0 , 0.6 )

Vizualizacao_externa2 <-  divulgacao5 atendimento6 (50.0 , 0.6 )

Vizualizacao_externa2 <-  variedade_cores3 qualidade_produto5 (50.0 , 0.6 )

Vizualizacao_externa2 <-  vitrine2 formas_pagamento3 (66.7 , 0.8 )

Vizualizacao_externa2 <-  variedade_tamanhos1 qualidade_produto2 (50.0 , 0.6 )

Vizualizacao_externa2 <-  aparencia_loja1 provador5 (50.0 , 0.6 )

Vizualizacao_externa2 <-  qualidade_produto1 localizacao2 (50.0 , 1.1 )

Vizualizacao_externa2 <-  localizacao1 SimRetornou (50.0 , 0.6 )

Vizualizacao_externa2 <-  localizacao6 aparencia_loja2 formas_pagamento1 (100.0 , 0.3 )

Vizualizacao_externa2 <-  variedade_tamanhos2 formas_pagamento4 provador2 (50.0 , 0.6 )

Vizualizacao_externa2 <-  aparencia_loja5 divulgacao3 formas_pagamento2 (100.0 , 0.3 )

Vizualizacao_externa3 <-  variedade_tamanhosnr localizacao6 (100.0 , 0.3 )

Vizualizacao_externa3 <-  atendimentonr variedade_tamanhos1 (100.0 , 0.3 )

Vizualizacao_externa3 <-  provador Vendedor3 (100.0 , 0.3 )

Vizualizacao_externa3 <-  atendimento1 variedade_cores3 (50.0 , 0.6 )

Vizualizacao_externa3 <-  variedade_cores6 formas_pagamento5 (100.0 , 0.3 )

Vizualizacao_externa3 <-  localizacao5 provador1 (50.0 , 1.1 )

Vizualizacao_externa3 <-  vitrine2 qualidade_produto2 (50.0 , 1.7 )

Vizualizacao_externa3 <-  atendimento2 divulgacao4 (50.0 , 1.1 )

Vizualizacao_externa3 <-  atendimento6 Vendedor2 (50.0 , 0.6 )

Vizualizacao_externa3 <-  aparencia_loja1 noite (50.0 , 1.1 )

Vizualizacao_externa3 <-  qualidade_produto1 formas_pagamento4 (50.0 , 0.6 )

Vizualizacao_externa3 <-  localizacao2 provador3 (54.5 , 3.1 )

Vizualizacao_externa3 <-  Vendedor1 SimRetornou (75.0 , 1.1 )

Vizualizacao_externa3 <-  formas_pagamento2 atendimento4 (50.0 , 3.4 )

Vizualizacao_externa3 <-  divulgacao5 provador5 aparencia_loja2 (50.0 , 0.6 )

vitrine4 <-  divulgacaonr (50.0 , 1.1 )

vitrine4 <-  formas_pagamento5 (58.8 , 4.8 )

vitrine4 <-  localizacao6 (59.3 , 7.6 )

vitrine4 <-  divulgacao3 (51.0 , 14.4 )

vitrine4 <-  divulgacao4 (50.8 , 17.3 )

vitrine4 <-  aparencia_loja4 (52.4 , 29.7 )

vitrine4 <-  variedade_cores2 localizacao5 (100.0 , 0.3 )

vitrine4 <-  atendimentonr variedade_tamanhos1 (100.0 , 0.3 )

vitrine4 <-  provador localizacao2 (100.0 , 0.3 )

vitrine4 <-  variedade_cores6 provador2 (50.0 , 0.6 )

vitrine4 <-  divulgacao5 Vizualizacao_externa2 (100.0 , 0.3 )

vitrine4 <-  variedade_cores3 localizacao1 (50.0 , 1.1 )

vitrine4 <-  provador1 formas_pagamento3 (50.0 , 0.6 )

vitrine4 <-  atendimento2 aparencia_loja5 (50.0 , 0.6 )

vitrine4 <-  atendimento6 aparencia_loja1 (50.0 , 2.3 )

vitrine4 <-  qualidade_produto1 Vendedor2 (50.0 , 1.7 )

vitrine4 <-  variedade_tamanhos2 Vendedor3 (80.0 , 1.4 )

vitrine4 <-  qualidade_produto2 noite (50.0 , 1.7 )

vitrine4 <-  formas_pagamento4 provador4 (50.0 , 4.0 )

vitrine4 <-  provador5 variedade_tamanhos3 (66.7 , 0.8 )

vitrine4 <-  formas_pagamento2 atendimento3 (60.0 , 4.2 )

vitrine4 <-  qualidade_produto3 variedade_tamanhos5 (58.3 , 3.4 )

vitrine4 <-  localizacao4 tarde (52.4 , 5.9 )

vitrine4 <-  qualidade_produto5 aparencia_loja3 (50.0 , 5.1 )

vitrine4 <-  provador3 localizacao3 (52.8 , 10.2 )

vitrine4 <-  qualidade_produto4 Vizualizacao_externa5 (56.1 , 11.6 )

vitrine3 <-  variedade_cores3 (52.4 , 5.9 )

vitrine3 <-  variedade_tamanhosnr localizacao6 (100.0 , 0.3 )

vitrine3 <-  formas_pagamentonr aparencia_loja2 (100.0 , 0.3 )

vitrine3 <-  Vizualizacao_externa1 localizacao5 (100.0 , 0.3 )

vitrine3 <-  atendimento1 qualidade_produto1 (50.0 , 0.6 )

vitrine3 <-  variedade_cores6 Vizualizacao_externa2 (66.7 , 0.8 )

vitrine3 <-  formas_pagamento5 divulgacao3 (100.0 , 0.3 )

vitrine3 <-  divulgacao5 variedade_tamanhos1 (50.0 , 0.6 )

vitrine3 <-  provador1 Vizualizacao_externa3 (60.0 , 1.4 )

vitrine3 <-  atendimento2 variedade_tamanhos2 (62.5 , 2.3 )

vitrine3 <-  atendimento6 aparencia_loja5 (50.0 , 0.6 )

vitrine3 <-  aparencia_loja1 divulgacao4 (100.0 , 0.3 )

vitrine3 <-  localizacao2 Vendedor1 (50.0 , 2.3 )

vitrine3 <-  qualidade_produto2 formas_pagamento2 (53.3 , 4.2 )

vitrine3 <-  formas_pagamento4 provador2 (50.0 , 2.3 )

vitrine3 <-  localizacao1 provador3 (50.0 , 2.8 )

vitrine3 <-  aparencia_loja3 Vizualizacao_externa4 (50.0 , 10.8 )

vitrine3 <-  SimRetornou formas_pagamento1 (50.0 , 6.8 )

vitrine5 <-  variedade_coresnr (50.0 , 0.6 )

vitrine5 <-  aparencia_lojanr localizacao2 (100.0 , 0.3 )

vitrine5 <-  localizacaonr divulgacaonr (50.0 , 0.6 )

vitrine5 <-  variedade_tamanhosnr aparencia_loja5 (100.0 , 0.3 )

vitrine5 <-  formas_pagamentonr Vendedor1 (100.0 , 0.3 )

vitrine5 <-  variedade_cores1 variedade_tamanhos3 (100.0 , 0.3 )

